name	length	species	type	subtype	description	classification
DNA-8-7_DR	1049	Danio_rerio	DNA	hAT-Tip100	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA-8-8_DR	1125	Danio_rerio	DNA	hAT-Charlie	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA-8-9_DR	3719	Danio_rerio	DNA	hAT-Ac	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA-9-1_DR	323	Danio_rerio	DNA	MULE-MuDR	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Mutator-like_Element;MuDR
DNA-AT-1_DR	392	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-AT-2_DR	1441	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-AT-3_DR	2015	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-AT-4_DR	951	Danio_rerio	DNA	PIF-ISL2EU	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements;ISL2EU
DNA-CCGG-1_DR	1834	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-N15_DR	326	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-N4_DR	1042	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TA-1_DR	812	Danio_rerio	DNA	CMC-EnSpm	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA-TA-2_DR	196	Danio_rerio	DNA	CMC-EnSpm	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA-TA-3_DR	1041	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TA-4_DR	9795	Danio_rerio	DNA	TcMar	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element
DNA-TA-5_DR	958	Danio_rerio	DNA	TcMar-Tigger	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Pogo-group;Tigger
DNA-TA-6_DR	972	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TA-7_DR	993	Danio_rerio	DNA	TcMar-Fot1	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Pogo-group;Fot1
DNA-TA-8_DR	1308	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA-1_DR	1351	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA-2_DR	1669	Danio_rerio	DNA	.	Non-autonomous Kolobok transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA0-1_DR	1033	Danio_rerio	DNA	.	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA0-2_DR	1359	Danio_rerio	DNA	.	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA0-3_DR	935	Danio_rerio	DNA	.	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA0-4_DR	1705	Danio_rerio	DNA	TcMar-ISRm11	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;ISRm11
DNA-TTAA0-5_DR	933	Danio_rerio	DNA	TcMar-ISRm11	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;ISRm11
DNA-TTAA0-6_DR	1188	Danio_rerio	DNA	.	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-TTAA0-7_DR	1255	Danio_rerio	DNA	TcMar-ISRm11	Tc1/Mariner-type non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;ISRm11
DNA-X-10_DR	1507	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-11_DR	1356	Danio_rerio	DNA	hAT	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element
DNA-X-12_DR	16684	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-13_DR	802	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-14_DR	4305	Danio_rerio	DNA	Merlin	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Merlin
DNA-X-15_DR	1627	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-16_DR	20706	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-17_DR	2382	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-2B_DR	439	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-2_DR	816	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-3_DR	1474	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-4B_DR	421	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-4_DR	1245	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-5_DR	1221	Danio_rerio	DNA	hAT	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element
DNA-X-6_DR	1333	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-7_DR	646	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-8_DR	912	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA-X-9_DR	1151	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA11TA1_DR	204	Danio	DNA	CMC-EnSpm	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA13TA1_DR	318	Danio	DNA	TcMar-Tc1	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
DNA13TA1a_DR	318	Danio	DNA	TcMar-Tc1	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
DNA14-5-1_DR	693	Danio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA15TA1_DR	442	Danio	DNA	CMC-EnSpm	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA16TA1_DR	533	Danio	DNA	CMC-EnSpm	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA1_Mam	407	Eutheria	DNA	TcMar-Tc1	TcMar DNA transposon, DNA1_Mam subfamily (non-autonomous)	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
DNA2-10_DR	3521	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-11_DR	1533	Danio_rerio	DNA	CMC-EnSpm	Non-autonomous En/Spm DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA2-12_DR	1172	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-13_DR	5898	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-14_DR	7622	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-15_DR	530	Danio_rerio	DNA	hAT-Ac	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA2-17_DR	1278	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-1_DR	5547	Danio_rerio	DNA	CMC-EnSpm	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA2-2B_DR	929	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-2_DR	786	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-32B_DR	1129	Danio_rerio	DNA	hAT	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element
DNA2-3_DR	1245	Danio_rerio	DNA	Merlin	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Merlin
DNA2-4_DR	1336	Danio_rerio	DNA	hAT-Charlie	Non-autonomous hAT DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA2-5_DR	1822	Danio_rerio	DNA	hAT-Ac	Non-autonomous hAT DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA2-6_DR	3089	Danio_rerio	DNA	CMC-EnSpm	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA2-7_DR	9650	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA2-8_DR	4407	Danio_rerio	DNA	CMC-EnSpm	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNA2-9_DR	2701	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA21TA1_DR	539	Danio	DNA	TcMar-Tc1	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Tc1-Mariner-like_Element;Tc1
DNA25TWA1_DR	555	Danio	DNA	PIF-Harbinger	Non-autonomous Harbinger DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements;Harbinger
DNA25TWA2_DR	802	Danio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA3-1_DR	599	Danio_rerio	DNA	PIF-Harbinger	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements;Harbinger
DNA4-1B_DR	614	Danio_rerio	DNA	Sola-2	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Sola-group;Sola-2
DNA5-6B_DR	1153	Danio_rerio	DNA	hAT	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element
DNA6-10_DR	6706	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-1B_DR	836	Danio_rerio	DNA	hAT-hAT5	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;hAT5
DNA6-1_DR	1149	Danio_rerio	DNA	hAT-hAT5	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;hAT5
DNA6-2_DR	2104	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-3_DR	1411	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-4_DR	3539	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-5_DR	1403	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-7_DR	520	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-8_DR	972	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA6-9B_DR	1064	Danio_rerio	DNA	hAT-hAT5	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;hAT5
DNA6-9_DR	694	Danio_rerio	DNA	hAT-hAT5	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;hAT5
DNA7-N1_DR	10417	Danio_rerio	DNA	Zisupton	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Zisupton
DNA7-N2_DR	2014	Danio_rerio	DNA	hAT-hAT6	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;hAT6
DNA8-10B_DR	225	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-10_DR	4018	Danio_rerio	DNA	hAT-Ac	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA8-12_DR	326	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-13_DR	658	Danio_rerio	DNA	hAT-Tip100	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-14_DR	1401	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-15_DR	892	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-17_DR	1813	Danio_rerio	DNA	hAT-Tip100	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-18_DR	1133	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-19_DR	306	Danio_rerio	DNA	Merlin	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Merlin
DNA8-1_DR	2164	Danio_rerio	DNA	hAT-Tip100	Non-autonomous hAT DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-20_DR	20788	Danio_rerio	DNA	hAT	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element
DNA8-21_DR	13921	Danio_rerio	DNA	Merlin	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Merlin
DNA8-22_DR	785	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-23_DR	6739	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-24_DR	1071	Danio_rerio	DNA	hAT-Ac	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA8-25_DR	3967	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-26_DR	4530	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA8-2_DR	824	Danio	DNA	hAT-Tip100	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-3B_DR	1707	Danio_rerio	DNA	hAT-Tip100	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-3C_DR	305	Danio_rerio	DNA	hAT-Tip100	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-3_DR	1387	Danio	DNA	hAT-Tip100	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Tip100
DNA8-4A_DR	919	Danio_rerio	DNA	hAT-Charlie	hAT DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA8-4B_DR	321	Danio_rerio	DNA	hAT-Charlie	Putative non-autonomous hAT DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA8-4C_DR	1261	Danio_rerio	DNA	hAT-Charlie	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA8-4_DR	2395	Danio	DNA	hAT-Charlie	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA8-5_DR	2033	Danio	DNA	hAT-Ac	Non-autonomous hAT DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA8-6_DR	1064	Danio	DNA	hAT-Ac	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA8-7_DR	584	Danio	DNA	hAT-Ac	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA8-8B_DR	1223	Danio_rerio	DNA	hAT-Charlie	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA8-8_DR	1207	Danio	DNA	hAT-Charlie	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Charlie
DNA8-9_DR	1451	Danio	DNA	hAT-Ac	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;hAT_Element;Activator
DNA9-2_DR	3934	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA9-3_DR	11379	Danio_rerio	DNA	MULE-MuDR	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Mutator-like_Element;MuDR
DNA9-4_DR	419	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA9-5_DR	4927	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA9-6_DR	7884	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNA9NNN1B_DR	1206	Danio_rerio	DNA	PIF-Harbinger	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements;Harbinger
DNA9NNN1_DR	1163	Danio	DNA	PIF-Harbinger	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;PIF-like_Elements;Harbinger
DNA9TA1_DR	3333	Danio	DNA	CMC-EnSpm	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
DNAREP1_DM	594	Drosophila_fruit_fly_genus	RC	Helitron	DNAREP1_DM is a putative nonautonomous DNA transposable sequence.	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Rolling_Circle;Helitron-1
DNAX-10B_DR	1174	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-10_DR	1141	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-15_DR	767	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-16_DR	423	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-17B_DR	374	Danio_rerio	DNA	Zator	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Zator
DNAX-17_DR	555	Danio_rerio	DNA	Zator	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Zator
DNAX-18_DR	758	Danio_rerio	DNA	Merlin	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;Merlin
DNAX-19_DR	439	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-1B_DR	682	Danio_rerio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-1C_DR	675	Danio_rerio	DNA	.	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-1_DR	693	Danio	DNA	.	Non-autonomous DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat
DNAX-20_DR	694	Danio_rerio	DNA	CMC-EnSpm	DNA transposon from zebrafish	Interspersed_Repeat;Transposable_Element;DNA_Transposon;Terminal_Inverted_Repeat;CAA_element;CMC;EnSpm
